Company Name,Role,Location,Salary,Last Update
Optum,Lead Data Analyst - AI/ ML,Hyderābād,₹3L - ₹6L (Glassdoor Est.),30d
Optum,"Data Analyst - Power BI, Python and Alteryx",Hyderābād,N/A,30d
Optum,Senior Business Analyst,Hyderābād,₹5L - ₹7L (Glassdoor Est.),14d
ITI Data,"Data Analyst (Kafka, API)",Hyderābād,₹5L - ₹6L (Glassdoor Est.),30d+
ITI Data,Data Analyst with QlikView,Hyderābād,₹4L - ₹6L (Glassdoor Est.),30d+
DAZN,Junior Data Analyst,Hyderābād,₹6L - ₹8L (Glassdoor Est.),24h
ekincare,Data Analyst,Hyderābād,₹4L - ₹6L (Glassdoor Est.),24h
Patra Corporation,Data Analyst 1,Hyderābād,₹6L - ₹10L (Glassdoor Est.),30d+
Infor,Data Analyst,Hyderābād,₹50T - ₹7L (Glassdoor Est.),2d
DAZN,Data Analyst,Hyderābād,₹6L - ₹8L (Glassdoor Est.),24h
sonataOne,Data Analyst,Hyderābād,₹4L - ₹6L (Glassdoor Est.),10d
JPMorganChase,Analyst - WKO Data & Solutions,Hyderābād,₹5L - ₹8L (Glassdoor Est.),24h
Credit Safe Technology Private Limited,Data Analyst,India,₹7L - ₹12L (Employer Est.),10d
Prakara Learning Pvt Ltd,Data Analyst/MIS,India,₹4L - ₹5L (Employer Est.),30d+
Wipro Limited,Data Analyst - L4,Hyderābād,₹4L - ₹7L (Glassdoor Est.),13d
"Intercontinental Exchange Holdings, Inc.",Data Analyst,Hyderābād,N/A,30d+
VXI Global Solutions,Data Analyst,Hyderābād,₹5L - ₹7L (Glassdoor Est.),16d
IntouchCX,Data Analyst,Hyderābād,₹6L - ₹9L (Glassdoor Est.),13d
Precision AQ,Data Analyst,Hyderābād,₹5L - ₹7L (Glassdoor Est.),29d
Appzlogic Mobility Solutions Pvt Ltd,Data Analyst,Hyderābād,₹5L - ₹8L (Glassdoor Est.),21d
Google,"Ads Expert Rater Analyst, Trust and Safety",Hyderābād,N/A,24h
Deloitte,Quality Risk and Regulations-Hyderabad-Analyst/Associate Analyst,Hyderābād,N/A,24h
Zeta Global,Data Analyst,Hyderābād,₹4L - ₹9L (Glassdoor Est.),30d+
YouTube,"Scaled Abuse Analyst, Trust & Safety, YouTube",Hyderābād,₹1L - ₹2L (Glassdoor Est.),14d
Wells Fargo,Data Management Analyst,Hyderābād,₹6L - ₹7L (Glassdoor Est.),8d
Expertrons,Data Analyst,Hyderābād,₹8L - ₹15L (Employer Est.),30d+
Saven Technologies,Data Analyst,Hyderābād,₹3L - ₹7L (Glassdoor Est.),30d+
CDK Global,Data Analyst,Hyderābād,N/A,30d+
Wipro Limited,Business Analyst,Hyderābād,₹3L - ₹8L (Glassdoor Est.),11d
Seismic,Web Marketing Data Analyst,Hyderābād,₹3L - ₹6L (Glassdoor Est.),15d
Optum,Lead Data Analyst - AI/ ML,Hyderābād,₹3L - ₹6L (Glassdoor Est.),30d
Optum,"Data Analyst - Power BI, Python and Alteryx",Hyderābād,N/A,30d
Optum,Senior Business Analyst,Hyderābād,₹5L - ₹7L (Glassdoor Est.),14d
ITI Data,"Data Analyst (Kafka, API)",Hyderābād,₹5L - ₹6L (Glassdoor Est.),30d+
ITI Data,Data Analyst with QlikView,Hyderābād,₹4L - ₹6L (Glassdoor Est.),30d+
DAZN,Junior Data Analyst,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,N/A,
,,,,
,,,,
,,,,
,,,,
,,,N/A,
,,,N/A,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,N/A,30d+
Wipro Limited,Business Analyst,Hyderābād,₹3L - ₹8L (Glassdoor Est.),11d
Seismic,Web Marketing Data Analyst,Hyderābād,₹3L - ₹6L (Glassdoor Est.),15d
